SR_TEAM,DI_DATE,DI_REF,TRD_KEYIN,TRD_SH_NAME,TRD_QTY,TRD_U_PRC,AR_CODE
JOY,2019-09-23,CS-1256209/057,IG0681,"Callebaut Dark Chocolate Couverture 57.7% , 2.5kg",1.0,850.0,P13820
JOY,2019-09-23,CS-1256209/057,IG0682,"Callebaut White Chocolate Couverture 28% ,2.5 kg",1.0,950.0,P13820
JOY,2019-09-23,CS-1256209/057,PK0645,SYN Triangle Paper Gold Card 7x11 cm. (P/100) สามเหลี่ยม,1.0,90.0,P13820
JOY,2019-09-23,CS-1256209/057,PK0405-8,SNY Round Paper Card 8 cm. P/100,1.0,90.0,P13820
JOY,2019-09-23,CS-1256209/058,PK0115,CH32 Jelly/Mousse Cups Cap:130ml. dia.98x47x45H,200.0,3.8,R0408
JOY,2019-09-23,CS-1256209/059,IG0647-1,Whole Hazelnut (with skin) 200 g.เม็ดเต็ม,1.0,160.0,WL00536
JOY,2019-09-23,CS-1256209/059,IG0700,Cashew Nut Size (B) 1 kg / เม็ดมะม่วงหิมพานต์,1.0,470.0,WL00536
JOY,2019-09-23,CS-1256209/059,IG0095-2,Almond Blanched Slice 200 g.,1.0,90.0,WL00536
JOY,2019-09-23,CS-1256209/059,IG0744-1,Black Raisins Dried Fruit 1 kg.,1.0,145.0,WL00536
JOY,2019-09-23,CS-1256209/059,IG0516-1,Cranberry Dried Fruit 500 g.,1.0,270.0,WL00536
JOY,2019-09-23,CS-1256209/060,2019800154880,Pink Chocolate Color Powder (CH008) [ x 10.00],1.0,150.0,P12961
JOY,2019-09-23,CS-1256209/060,2019800190321,No.14 Sunset Yellow FCF Macaron color (DE186) [ x 10.00],1.0,150.0,P12961
JOY,2019-09-23,CS-1256209/060,IG0512-A1,Superfine Almond Powder (USA) 1 kg. (M071),1.0,400.0,P12961
JOY,2019-09-23,CS-1256209/060,PT0944,CDN DSP1 Dual Sensor Probe-Oven/Grill,1.0,1450.0,P12961
JOY,2019-09-23,CS-1256209/061,PK0616,CH44 Jelly/Mousse Cups+Lid 270 ml.ทรงสี่เหลี่ยมสูงพร้อมฝาปิด,50.0,8.0,P11387
JOY,2019-09-24,CS-1256209/062,IG0505-1,"Cacao Barry Dark Choc Chip Drop (Noir) 50% ,500 g.",1.0,180.0,P13822
JOY,2019-09-24,CS-1256209/062,IG0503-1,500 g.Dark Choc 58% COCOABARRY,2.0,180.0,P13822
JOY,2019-09-24,CS-1256209/062,IG0294-1,Cacao Barry White Choc Zephyr 34% Pistoles 500 g.,2.0,255.0,P13822
JOY,2019-09-24,CS-1256209/062,IG0335-1,Cacao Barry Lactee Barry (Milk) 35% Pistoles 500 g.,1.0,230.0,P13822
